Country/Territory,Population 2022,Population 2022,Change,Region,SubRegion
Mauritania,"4,875,637","5,022,441",+3.01%,Africa,Western Africa
Kuwait,"4,589,511","4,838,782",+5.43%,Asia,Western Asia
Panama,"4,400,773","4,458,759",+1.32%,Americas,Central America
Croatia,"3,907,027","3,896,023",−0.28%,Europe,Southern Europe
Georgia[p],"3,794,784","3,807,492",+0.33%,Asia,Western Asia
Eritrea,"3,409,447","3,470,390",+1.79%,Africa,Eastern Africa
Mongolia,"3,386,015","3,431,932",+1.36%,Asia,Eastern Asia
Uruguay,"3,390,913","3,388,081",−0.08%,Americas,South America
Puerto Rico (United States),"3,240,968","3,242,023",+0.03%,Americas,Caribbean
Bosnia and Herzegovina,"3,204,802","3,185,073",−0.62%,Europe,Southern Europe
Moldova[q],"3,039,985","3,067,070",+0.89%,Europe,Eastern Europe
Qatar,"2,892,455","2,979,082",+2.99%,Asia,Western Asia
Namibia,"2,889,662","2,963,095",+2.54%,Africa,Southern Africa
Armenia,"2,880,874","2,943,393",+2.17%,Asia,Western Asia
Lithuania,"2,816,919","2,854,099",+1.32%,Europe,Northern Europe
Jamaica,"2,839,144","2,839,786",+0.02%,Americas,Caribbean
Albania,"2,827,608","2,811,655",−0.56%,Europe,Southern Europe
Gambia,"2,636,470","2,697,845",+2.33%,Africa,Western Africa
Gabon,"2,430,747","2,484,789",+2.22%,Africa,Middle Africa
Botswana,"2,439,892","2,480,244",+1.65%,Africa,Southern Africa
Lesotho,"2,286,110","2,311,472",+1.11%,Africa,Southern Africa
Guinea-Bissau,"2,105,529","2,153,339",+2.27%,Africa,Western Africa
Slovenia,"2,115,228","2,118,396",+0.15%,Europe,Southern Europe
Latvia,"1,881,063","1,882,396",+0.07%,Europe,Northern Europe
Equatorial Guinea,"1,803,545","1,847,549",+2.44%,Africa,Middle Africa
North Macedonia,"1,840,233","1,831,802",−0.46%,Europe,Southern Europe
Kosovo[r],"1,717,946","1,700,031",−1.04%,Europe,Southern Europe
Bahrain,"1,533,459","1,569,666",+2.36%,Asia,Western Asia
Trinidad and Tobago,"1,495,921","1,502,932",+0.47%,Americas,Caribbean
East Timor,"1,369,295","1,384,286",+1.09%,Asia,South-eastern Asia
Estonia,"1,350,091","1,367,196",+1.27%,Europe,Northern Europe
Cyprus[s],"1,331,370","1,344,976",+1.02%,Asia,Western Asia
Mauritius,"1,276,130","1,273,588",−0.20%,Africa,Eastern Africa
Eswatini,"1,218,917","1,230,506",+0.95%,Africa,Southern Africa
Djibouti,"1,137,096","1,152,944",+1.39%,Africa,Eastern Africa
Fiji,"919,422","924,145",+0.51%,Oceania,Melanesia
Réunion (France),"871,540","874,883",+0.38%,Africa,Eastern Africa
Comoros,"834,188","850,387",+1.94%,Africa,Eastern Africa
Guyana,"821,637","826,353",+0.57%,Americas,South America
Solomon Islands,"781,066","800,005",+2.42%,Oceania,Melanesia
Bhutan,"780,914","786,385",+0.70%,Asia,Southern Asia
Macao (China)[t],"704,356","713,912",+1.36%,Asia,Eastern Asia
Luxembourg,"653,313","665,098",+1.80%,Europe,Western Europe
Montenegro,"614,648","633,552",+3.08%,Europe,Southern Europe
Suriname,"623,164","628,886",+0.92%,Americas,South America
Western Sahara (disputed)[u],"568,739","579,729",+1.93%,Africa,Northern Africa
Malta,"528,192","532,956",+0.90%,Europe,Southern Europe
Maldives,"524,106","525,994",+0.36%,Asia,Southern Asia
Cape Verde,"519,741","522,331",+0.50%,Africa,Western Africa
Brunei,"455,370","458,949",+0.79%,Asia,South-eastern Asia
Belize,"402,733","411,106",+2.08%,Americas,Central America
Bahamas,"397,538","399,440",+0.48%,Americas,Caribbean
Iceland,"380,356","387,558",+1.89%,Europe,Northern Europe
Guadeloupe (France),"384,697","376,517",−2.13%,Americas,Caribbean
Martinique (France),"349,459","346,002",−0.99%,Americas,Caribbean
Vanuatu,"313,046","320,409",+2.35%,Oceania,Melanesia
Mayotte (France),"305,269","316,015",+3.52%,Africa,Eastern Africa
French Guiana (France),"298,306","303,402",+1.71%,Americas,South America
New Caledonia (France),"287,123","289,870",+0.96%,Oceania,Melanesia
Barbados,"288,318","282,336",−2.07%,Americas,Caribbean
French Polynesia (France),"280,378","281,118",+0.26%,Oceania,Polynesia
São Tomé and Príncipe,"226,305","230,871",+2.02%,Africa,Middle Africa
Samoa,"215,261","216,663",+0.65%,Oceania,Polynesia
Curaçao (Netherlands),"185,345","185,427",+0.04%,Americas,Caribbean
Saint Lucia,"178,781","179,285",+0.28%,Americas,Caribbean
Guam (United States),"165,180","166,506",+0.80%,Oceania,Micronesia
Kiribati,"130,469","132,530",+1.58%,Oceania,Micronesia
Seychelles,"125,522","127,951",+1.94%,Africa,Eastern Africa
Grenada,"116,913","117,081",+0.14%,Americas,Caribbean
Micronesia,"112,114","112,630",+0.46%,Oceania,Micronesia
Tonga,"105,042","104,597",−0.42%,Oceania,Polynesia
Aruba (Netherlands),"107,782","107,939",+0.15%,Americas,Caribbean
Jersey (United Kingdom),"103,490","103,674",+0.18%,Europe,Northern Europe
Saint Vincent and the Grenadines,"102,046","101,323",−0.71%,Americas,Caribbean
Antigua and Barbuda,"92,840","93,316",+0.51%,Americas,Caribbean
U.S. Virgin Islands (United States),"86,507","85,701",−0.93%,Americas,Caribbean
Isle of Man (United Kingdom),"84,132","84,165",+0.04%,Europe,Northern Europe
Andorra,"79,705","80,856",+1.44%,Europe,Southern Europe
Cayman Islands (United Kingdom),"71,591","73,038",+2.02%,Americas,Caribbean
Dominica,"66,826","66,510",−0.47%,Americas,Caribbean
Bermuda (United Kingdom),"64,749","64,698",−0.08%,Americas,Northern America
Guernsey (United Kingdom),"63,725","64,017",+0.46%,Europe,Northern Europe
Greenland (Denmark),"54,990","55,922",+1.69%,Americas,Northern America
Faroe Islands (Denmark),"54,011","54,714",+1.30%,Europe,Northern Europe
American Samoa (United States),"48,342","47,521",−1.70%,Oceania,Polynesia
Saint Kitts and Nevis,"46,709","46,758",+0.10%,Americas,Caribbean
Turks and Caicos Islands (United Kingdom),"45,847","46,198",+0.77%,Americas,Caribbean
Northern Mariana Islands (United States),"46,078","45,143",−2.03%,Oceania,Micronesia
Sint Maarten (Netherlands),"42,139","42,749",+1.45%,Americas,Caribbean
Liechtenstein,"39,317","39,598",+0.71%,Europe,Western Europe
British Virgin Islands (United Kingdom),"38,319","38,985",+1.74%,Americas,Caribbean
Monaco,"38,931","38,956",+0.06%,Europe,Western Europe
Gibraltar (United Kingdom),"37,609","38,471",+2.29%,Europe,Southern Europe
Marshall Islands,"40,077","38,827",−3.12%,Oceania,Micronesia
San Marino,"34,090","33,733",−1.05%,Europe,Southern Europe
Caribbean Netherlands (Netherlands)[v],"28,627","29,898",+4.44%,Americas,Caribbean
Saint Martin (France),"28,870","27,515",−4.69%,Americas,Caribbean
Palau,"17,759","17,727",−0.18%,Oceania,Micronesia
Anguilla (United Kingdom),"14,180","14,410",+1.62%,Americas,Caribbean
Cook Islands (New Zealand),"14,723","14,222",−3.40%,Oceania,Polynesia
Nauru,"11,801","11,875",+0.63%,Oceania,Micronesia
Wallis and Futuna (France),"11,478","11,370",−0.94%,Oceania,Polynesia
Saint Barthélemy (France),"10,920","11,085",+1.51%,Americas,Caribbean
Tuvalu,"9,992","9,816",−1.76%,Oceania,Polynesia
Saint Pierre and Miquelon (France),"5,732","5,681",−0.89%,Americas,Northern America
Saint Helena (United Kingdom)[w],"5,343","5,289",−1.01%,Africa,Western Africa
Montserrat (United Kingdom),"4,453","4,420",−0.74%,Americas,Caribbean
Falkland Islands (United Kingdom),"3,490","3,477",−0.37%,Americas,South America
Tokelau (New Zealand),"2,290","2,397",+4.67%,Oceania,Polynesia
Niue (New Zealand),"1,821","1,817",−0.22%,Oceania,Polynesia
Vatican City[x],505,496,−1.78%,Europe,Southern Europe
